,Name,PID
560,Matthew Joyce,joycema01
561,Shawn Kelley,kellesh01
562,Joe Kelly,kellyjo05
563,Matt Kemp,kempma01
564,Howie Kendrick,kendrho01
565,Ian Kennedy,kenneia01
566,Clayton Kershaw,kershcl01
567,Kevin Kiermaier,kiermke01
568,Ian Kinsler,kinslia01
569,Brandon Kintzler,kintzbr01
570,Jason Kipnis,kipnija01
571,Corey Kluber,klubeco01
572,Tom Koehler,koehlto01
573,Shawn Kelley,kellesh01
574,Joe Kelly,kellyjo05
575,Matt Kemp,kempma01
576,Howie Kendrick,kendrho01
577,Ian Kennedy,kenneia01
578,Clayton Kershaw,kershcl01
579,Kevin Kiermaier,kiermke01
580,Ian Kinsler,kinslia01
581,Brandon Kintzler,kintzbr01
582,Jason Kipnis,kipnija01
583,Corey Kluber,klubeco01
584,Tom Koehler,koehlto01
585,Shawn Kelley,kellesh01
586,Joe Kelly,kellyjo05
587,Matt Kemp,kempma01
588,Howie Kendrick,kendrho01
589,Ian Kennedy,kenneia01
590,Clayton Kershaw,kershcl01
591,Kevin Kiermaier,kiermke01
592,Ian Kinsler,kinslia01
593,Brandon Kintzler,kintzbr01
594,Jason Kipnis,kipnija01
595,Corey Kluber,klubeco01
596,Tom Koehler,koehlto01
597,Juan Lagares,lagarju01
598,Jake Lamb,lambja01
599,Wade LeBlanc,leblawa01
600,DJ LeMahieu,lemahdj01
601,Mike Leake,leakemi01
602,Jon Lester,lestejo01
603,Francisco Lindor,lindofr01
604,Francisco Liriano,liriafr01
605,Evan Longoria,longoev01
606,Jed Lowrie,lowrije01
607,Jonathan Lucroy,lucrojo01
608,Jordan Lyles,lylesjo01
609,Lance Lynn,lynnla01
610,Juan Lagares,lagarju01
611,Jake Lamb,lambja01
612,Wade LeBlanc,leblawa01
613,DJ LeMahieu,lemahdj01
614,Mike Leake,leakemi01
615,Jon Lester,lestejo01
616,Francisco Lindor,lindofr01
617,Francisco Liriano,liriafr01
618,Evan Longoria,longoev01
619,Jed Lowrie,lowrije01
620,Jonathan Lucroy,lucrojo01
621,Jordan Lyles,lylesjo01
622,Lance Lynn,lynnla01
623,Juan Lagares,lagarju01
624,Jake Lamb,lambja01
625,Wade LeBlanc,leblawa01
626,DJ LeMahieu,lemahdj01
627,Mike Leake,leakemi01
628,Jon Lester,lestejo01
629,Francisco Lindor,lindofr01
630,Francisco Liriano,liriafr01
631,Evan Longoria,longoev01
632,Jed Lowrie,lowrije01
633,Jonathan Lucroy,lucrojo01
634,Jordan Lyles,lylesjo01
635,Lance Lynn,lynnla01
636,Manny Machado,machama01
637,Martin Maldonado,maldoma01
638,Jake Marisnick,marisja01
639,Nick Markakis,markani01
640,Starling Marte,martest01
641,Leonys Martin,martile01
642,Russell Martin,martiru01
643,Carlos Martinez,martica04
644,J.D. Martinez,martijd02
645,Jeff Mathis,mathije01
646,Cameron Maybin,maybica01
647,Zach McAllister,mcallza01
648,Brian McCann,mccanbr01
649,Andrew McCutchen,mccutan01
650,Jake McGee,mcgeeja01
651,Collin McHugh,mchugco01
652,Mark Melancon,melanma01
653,Jordy Mercer,mercejo03
654,Devin Mesoraco,mesorde01
655,Wade Miley,mileywa01
656,Andrew Miller,millean01
657,Brad Miller,millebr02
658,Shelby Miller,millesh01
659,Tommy Milone,milonto01
660,Mike Minor,minormi01
661,Yadier Molina,molinya01
662,Matt Moore,moorema02
663,Kendrys Morales,moralke01
664,Mitch Moreland,morelmi01
665,Logan Morrison,morrilo01
666,Brandon Morrow,morrobr01
667,Charlie Morton,mortoch02
668,Mike Moustakas,moustmi01
669,Daniel Murphy,murphda08
670,Wil Myers,myerswi01
671,Manny Machado,machama01
672,Martin Maldonado,maldoma01
673,Jake Marisnick,marisja01
674,Nick Markakis,markani01
675,Starling Marte,martest01
676,Leonys Martin,martile01
677,Russell Martin,martiru01
678,Carlos Martinez,martica04
679,J.D. Martinez,martijd02
680,Jeff Mathis,mathije01
681,Cameron Maybin,maybica01
682,Zach McAllister,mcallza01
683,Brian McCann,mccanbr01
684,Andrew McCutchen,mccutan01
685,Jake McGee,mcgeeja01
686,Collin McHugh,mchugco01
687,Mark Melancon,melanma01
688,Jordy Mercer,mercejo03
689,Devin Mesoraco,mesorde01
690,Wade Miley,mileywa01
691,Andrew Miller,millean01
692,Brad Miller,millebr02
693,Shelby Miller,millesh01
694,Tommy Milone,milonto01
695,Mike Minor,minormi01
696,Yadier Molina,molinya01
697,Matt Moore,moorema02
698,Kendrys Morales,moralke01
699,Mitch Moreland,morelmi01
700,Logan Morrison,morrilo01
701,Brandon Morrow,morrobr01
702,Charlie Morton,mortoch02
703,Mike Moustakas,moustmi01
704,Daniel Murphy,murphda08
705,Wil Myers,myerswi01
706,Manny Machado,machama01
707,Martin Maldonado,maldoma01
708,Jake Marisnick,marisja01
709,Nick Markakis,markani01
710,Starling Marte,martest01
711,Leonys Martin,martile01
712,Russell Martin,martiru01
713,Carlos Martinez,martica04
714,J.D. Martinez,martijd02
715,Jeff Mathis,mathije01
716,Cameron Maybin,maybica01
717,Zach McAllister,mcallza01
718,Brian McCann,mccanbr01
719,Andrew McCutchen,mccutan01
720,Jake McGee,mcgeeja01
721,Collin McHugh,mchugco01
722,Mark Melancon,melanma01
723,Jordy Mercer,mercejo03
724,Devin Mesoraco,mesorde01
725,Wade Miley,mileywa01
726,Andrew Miller,millean01
727,Brad Miller,millebr02
728,Shelby Miller,millesh01
729,Tommy Milone,milonto01
730,Mike Minor,minormi01
731,Yadier Molina,molinya01
732,Matt Moore,moorema02
733,Kendrys Morales,moralke01
734,Mitch Moreland,morelmi01
735,Logan Morrison,morrilo01
736,Brandon Morrow,morrobr01
737,Charlie Morton,mortoch02
738,Mike Moustakas,moustmi01
739,Daniel Murphy,murphda08
740,Wil Myers,myerswi01
741,Dioner Navarro,navardi01
742,Jimmy Nelson,nelsoji02
743,Pat Neshek,neshepa01
744,Juan Nicasio,nicasju01
745,Jon Niese,niesejo01
746,Aaron Nola,nolaaa01
747,Ricky Nolasco,nolasri01
748,Ivan Nova,novaiv01
749,Eduardo Nunez,nunezed02
750,Dioner Navarro,navardi01
751,Jimmy Nelson,nelsoji02
752,Pat Neshek,neshepa01
753,Juan Nicasio,nicasju01
754,Jon Niese,niesejo01
755,Aaron Nola,nolaaa01
756,Ricky Nolasco,nolasri01
757,Ivan Nova,novaiv01
758,Eduardo Nunez,nunezed02
759,Dioner Navarro,navardi01
760,Jimmy Nelson,nelsoji02
761,Pat Neshek,neshepa01
762,Juan Nicasio,nicasju01
763,Jon Niese,niesejo01
764,Aaron Nola,nolaaa01
765,Ricky Nolasco,nolasri01
766,Ivan Nova,novaiv01
767,Eduardo Nunez,nunezed02
768,Darren O'Day,odayda01
769,Rougned Odor,odorro01
770,Jake Odorizzi,odorija01
771,Adam Ottavino,ottavad01
772,Chris Owings,owingch01
773,Marcell Ozuna,ozunama01
774,Darren O'Day,odayda01
775,Rougned Odor,odorro01
776,Jake Odorizzi,odorija01
777,Adam Ottavino,ottavad01
778,Chris Owings,owingch01
779,Marcell Ozuna,ozunama01
780,Darren O'Day,odayda01
781,Rougned Odor,odorro01
782,Jake Odorizzi,odorija01
783,Adam Ottavino,ottavad01
784,Chris Owings,owingch01
785,Marcell Ozuna,ozunama01
786,Joe Panik,panikjo01
787,Gerardo Parra,parrage01
788,Steve Pearce,pearcst01
789,Joc Pederson,pederjo01
790,Dustin Pedroia,pedrodu01
791,Hunter Pence,pencehu01
792,Cliff Pennington,pennicl01
793,Wily Peralta,peralwi01
794,Martin Perez,perezma02
795,Oliver Perez,perezol01
796,Salvador Perez,perezsa02
797,Yusmeiro Petit,petityu01
798,Kevin Pillar,pillake01
799,Michael Pineda,pinedmi01
800,A.J. Pollock,polloaj01
801,Drew Pomeranz,pomerdr01
802,Rick Porcello,porceri01
803,Buster Posey,poseybu01
804,Martin Prado,pradoma01
805,David Price,priceda01
806,Yasiel Puig,puigya01
807,Albert Pujols,pujolal01
808,Joe Panik,panikjo01
809,Gerardo Parra,parrage01
810,Steve Pearce,pearcst01
811,Joc Pederson,pederjo01
812,Dustin Pedroia,pedrodu01
813,Hunter Pence,pencehu01
814,Cliff Pennington,pennicl01
815,Wily Peralta,peralwi01
816,Martin Perez,perezma02
817,Oliver Perez,perezol01
818,Salvador Perez,perezsa02
